"","rural_urban","favorite_count","retweet_count","official_private"
"266","Urban",0,0,"Official"
"267","Urban",0,10,"Official"
"268","Urban",4,5,"Official"
"269","Rural",0,0,"Official"
"270","Urban",0,1,"Official"
"271","Urban",1,0,"Official"
"272","Rural",0,0,"Official"
"273","Urban",0,0,"Official"
"274","Rural",0,0,"Official"
"275","Urban",0,0,"Official"
"276","Urban",0,1,"Official"
"277","Rural",0,0,"Official"
"278","Urban",0,0,"Official"
"279","Urban",0,0,"Official"
"280","Urban",0,0,"Official"
"281","Urban",2,2,"Official"
"282","Urban",0,0,"Official"
"283","Urban",0,1,"Official"
"284","Urban",2,0,"Official"
"285","Urban",3,1,"Official"
"286","Urban",1,0,"Official"
"287","Urban",5,2,"Official"
"288","Urban",1,0,"Official"
"289","Urban",0,3,"Official"
"290","Urban",0,0,"Official"
"291","Urban",1,0,"Official"
"292","Urban",4,0,"Official"
"293","Urban",0,0,"Official"
"294","Urban",1,0,"Official"
"295","Urban",1,0,"Official"
"296","Urban",0,0,"Official"
"297","Urban",1,1,"Official"
"298","Urban",0,0,"Official"
"299","Urban",2,1,"Official"
"300","Urban",1,7,"Official"
"301","Urban",3,1,"Official"
"302","Urban",1,1,"Official"
"303","Urban",5,3,"Official"
"304","Urban",2,0,"Official"
"305","Urban",0,2,"Official"
"306","Urban",1,1,"Official"
"307","Urban",1,6,"Official"
"308","Urban",0,0,"Official"
"309","Urban",1,1,"Official"
"310","Urban",2,2,"Official"
"311","Urban",2,1,"Official"
"312","Urban",2,1,"Official"
"313","Urban",2,1,"Official"
"314","Urban",3,4,"Official"
"315","Urban",3,5,"Official"
"316","Urban",2,2,"Official"
"317","Urban",1,0,"Official"
"318","Urban",0,1,"Official"
"319","Urban",2,4,"Official"
"320","Urban",1,3,"Official"
"321","Urban",1,2,"Official"
"322","Urban",3,1,"Official"
"323","Urban",2,3,"Official"
"324","Urban",0,2,"Official"
"325","Urban",0,1,"Official"
"326","Urban",0,1,"Official"
"327","Urban",4,3,"Official"
"328","Urban",1,3,"Official"
"329","Urban",1,0,"Official"
"330","Urban",1,1,"Official"
"331","Urban",2,0,"Official"
"332","Urban",1,1,"Official"
"333","Urban",0,1,"Official"
"334","Urban",2,0,"Official"
"335","Urban",0,0,"Official"
"336","Urban",2,2,"Official"
"337","Urban",0,0,"Official"
"338","Urban",3,9,"Official"
"339","Urban",2,0,"Official"
"340","Urban",0,3,"Official"
"341","Urban",0,0,"Official"
"342","Urban",1,1,"Official"
"343","Urban",0,1,"Official"
"344","Urban",0,0,"Official"
"345","Urban",0,2,"Official"
"346","Urban",0,0,"Official"
"347","Urban",0,0,"Official"
"348","Rural",0,0,"Official"
"349","Urban",0,0,"Official"
"350","Urban",1,0,"Official"
"351","Urban",0,2,"Official"
"352","Urban",0,0,"Official"
"353","Rural",0,0,"Official"
"354","Urban",0,0,"Official"
"355","Rural",0,0,"Official"
"356","Rural",1,0,"Official"
"357","Rural",0,0,"Official"
"358","Urban",0,0,"Official"
"359","Urban",1,0,"Official"
"360","Rural",1,0,"Official"
"361","Urban",0,0,"Official"
"362","Urban",2,3,"Official"
"363","Urban",0,0,"Official"
"364","Urban",0,0,"Official"
"365","Urban",4,0,"Official"
"366","Urban",0,1,"Official"
"367","Urban",0,0,"Official"
"368","Urban",0,0,"Official"
"369","Urban",0,0,"Official"
"370","Urban",0,0,"Official"
"371","Urban",1,0,"Official"
"372","Urban",0,0,"Official"
"373","Rural",0,0,"Official"
"374","Urban",1,2,"Official"
"375","Urban",2,1,"Official"
"376","Urban",1,0,"Official"
"377","Urban",0,0,"Official"
"378","Urban",1,0,"Official"
"379","Urban",1,0,"Official"
"380","Urban",0,0,"Official"
"381","Urban",0,0,"Official"
"382","Urban",3,0,"Official"
"383","Urban",1,0,"Official"
"384","Urban",4,0,"Official"
"385","Urban",1,0,"Official"
"386","Urban",2,0,"Official"
"387","Urban",1,0,"Official"
"388","Urban",1,0,"Official"
"389","Urban",0,0,"Official"
"390","Urban",2,0,"Official"
"391","Urban",0,0,"Official"
"392","Urban",4,1,"Official"
"393","Urban",0,0,"Official"
"394","Urban",1,0,"Official"
"395","Rural",0,0,"Official"
"396","Rural",0,0,"Official"
"397","Urban",0,0,"Official"
"398","Urban",1,0,"Official"
"399","Urban",2,1,"Official"
"400","Rural",0,0,"Official"
"401","Urban",1,0,"Official"
"402","Rural",0,0,"Official"
"403","Rural",0,0,"Official"
"404","Urban",1,0,"Official"
"405","Urban",3,1,"Official"
"406","Urban",0,0,"Official"
"407","Urban",0,0,"Official"
"408","Urban",0,0,"Official"
"409","Urban",0,0,"Official"
"410","Rural",0,0,"Official"
"411","Urban",1,0,"Official"
"412","Urban",0,0,"Official"
"413","Urban",0,0,"Official"
"414","Rural",0,0,"Official"
"415","Rural",0,0,"Official"
"416","Urban",0,0,"Official"
"417","Urban",0,0,"Official"
"418","Urban",0,0,"Official"
"419","Urban",2,2,"Official"
"420","Urban",1,0,"Official"
"421","Urban",0,0,"Official"
"422","Urban",0,0,"Official"
"423","Urban",1,0,"Official"
"424","Urban",0,0,"Official"
"425","Urban",0,1,"Official"
"426","Urban",0,0,"Official"
"427","Urban",1,0,"Official"
"428","Urban",0,0,"Official"
"429","Urban",0,0,"Official"
"430","Urban",1,0,"Official"
"431","Urban",0,0,"Official"
"432","Rural",0,0,"Official"
"433","Urban",1,0,"Official"
"434","Urban",0,0,"Official"
"435","Rural",0,0,"Official"
"436","Rural",0,0,"Official"
"437","Rural",0,0,"Official"
"438","Rural",0,0,"Official"
"439","Urban",0,0,"Official"
"440","Urban",0,0,"Official"
"441","Urban",0,0,"Official"
"442","Urban",0,0,"Official"
"443","Urban",0,0,"Official"
"444","Urban",1,0,"Official"
"445","Urban",0,0,"Official"
"446","Urban",0,0,"Official"
"447","Rural",0,0,"Official"
"448","Rural",0,0,"Official"
"449","Rural",0,0,"Official"
"450","Urban",0,0,"Official"
"451","Rural",0,0,"Official"
"452","Rural",0,0,"Official"
"453","Urban",0,0,"Official"
"454","Urban",0,0,"Official"
"455","Rural",0,0,"Official"
"456","Urban",0,1,"Official"
"457","Rural",0,0,"Official"
"458","Urban",0,0,"Official"
"459","Rural",0,0,"Official"
"460","Urban",0,0,"Official"
"461","Urban",0,2,"Official"
"462","Rural",0,0,"Official"
"463","Urban",0,2,"Official"
"464","Rural",0,0,"Official"
"465","Urban",0,2,"Official"
"466","Urban",1,0,"Official"
"467","Rural",0,0,"Official"
"468","Urban",1,0,"Official"
"469","Urban",0,0,"Official"
"470","Rural",0,0,"Official"
"471","Rural",0,0,"Official"
"472","Rural",0,0,"Official"
"473","Urban",0,1,"Official"
"474","Rural",0,0,"Official"
"475","Urban",0,1,"Official"
"476","Rural",0,0,"Official"
"477","Rural",0,0,"Official"
"478","Rural",0,0,"Official"
"479","Urban",0,0,"Official"
"480","Urban",1,0,"Official"
"481","Urban",0,0,"Official"
"482","Urban",0,0,"Official"
"483","Urban",0,0,"Official"
"484","Rural",0,0,"Official"
"485","Rural",0,0,"Official"
"486","Rural",0,0,"Official"
"487","Urban",0,0,"Official"
"488","Rural",0,0,"Official"
"489","Urban",1,0,"Official"
"490","Rural",0,0,"Official"
"491","Rural",0,0,"Official"
"492","Urban",0,0,"Official"
"493","Urban",1,0,"Official"
"494","Urban",0,0,"Official"
"495","Urban",1,0,"Official"
"496","Urban",0,0,"Official"
"497","Rural",0,0,"Official"
"498","Urban",0,0,"Official"
"499","Urban",1,0,"Official"
"500","Urban",1,0,"Official"
"501","Urban",1,0,"Official"
"502","Rural",1,0,"Official"
"503","Urban",0,0,"Official"
"504","Urban",1,0,"Official"
"505","Rural",0,0,"Official"
"506","Rural",0,0,"Official"
"507","Urban",0,0,"Official"
"508","Rural",0,0,"Official"
"509","Urban",0,0,"Official"
"510","Rural",0,1,"Official"
"511","Rural",0,0,"Official"
"512","Urban",0,0,"Official"
"513","Urban",0,0,"Official"
"514","Urban",0,0,"Official"
"515","Urban",1,0,"Official"
"516","Urban",0,0,"Official"
"517","Urban",0,0,"Official"
"518","Urban",1,0,"Official"
"519","Rural",0,0,"Official"
"520","Urban",2,1,"Official"
"521","Urban",0,0,"Official"
"522","Rural",0,0,"Official"
"523","Urban",0,0,"Official"
"524","Urban",0,0,"Official"
"525","Rural",0,0,"Official"
"526","Urban",0,0,"Official"
"527","Rural",0,0,"Official"
"528","Rural",0,0,"Official"
"529","Urban",0,0,"Official"
"530","Urban",0,0,"Official"
"531","Urban",0,0,"Official"
"532","Rural",0,0,"Official"
"533","Rural",0,0,"Official"
"534","Urban",0,0,"Official"
"535","Rural",0,0,"Official"
"536","Rural",0,0,"Official"
"537","Rural",0,1,"Official"
"538","Rural",0,0,"Official"
"539","Rural",0,0,"Official"
"540","Rural",0,0,"Official"
"541","Rural",0,0,"Official"
"542","Rural",0,0,"Official"
"543","Rural",0,0,"Official"
"544","Rural",1,0,"Official"
"545","Urban",0,1,"Official"
"546","Rural",0,0,"Official"
"547","Urban",0,1,"Official"
"548","Urban",0,1,"Official"
"549","Urban",1,1,"Official"
"550","Urban",0,1,"Official"
"551","Rural",0,0,"Official"
"552","Urban",0,0,"Official"
"553","Rural",0,0,"Official"
"554","Urban",0,0,"Official"
"555","Urban",0,1,"Official"
"556","Urban",0,0,"Official"
"557","Urban",0,2,"Official"
"558","Urban",0,0,"Official"
"559","Urban",0,0,"Official"
"560","Urban",1,0,"Official"
"561","Urban",0,0,"Official"
"562","Urban",2,3,"Official"
"563","Urban",2,0,"Official"
"564","Urban",1,0,"Official"
"565","Urban",0,0,"Official"
"566","Urban",4,2,"Official"
"567","Urban",0,0,"Official"
"568","Urban",0,0,"Official"
"569","Urban",0,0,"Official"
"570","Urban",0,0,"Official"
"571","Urban",3,1,"Official"
"572","Rural",0,0,"Official"
"573","Urban",2,0,"Official"
"574","Urban",0,0,"Official"
"575","Urban",1,2,"Official"
"576","Urban",0,0,"Official"
"577","Urban",0,1,"Official"
"578","Rural",0,2,"Official"
"579","Urban",3,1,"Official"
"580","Urban",1,6,"Official"
"581","Urban",0,0,"Official"
"582","Urban",1,1,"Official"
"583","Urban",2,1,"Official"
"584","Urban",0,1,"Official"
"585","Urban",0,2,"Official"
"586","Urban",0,0,"Official"
"587","Urban",1,0,"Official"
"588","Urban",2,0,"Official"
"589","Urban",0,0,"Official"
"590","Urban",0,0,"Official"
"591","Urban",0,0,"Official"
"592","Urban",0,0,"Official"
"593","Rural",0,0,"Official"
"594","Rural",0,0,"Official"
"595","Urban",1,0,"Official"
"596","Urban",0,5,"Official"
"597","Rural",0,0,"Official"
"598","Rural",0,0,"Official"
"599","Urban",0,0,"Official"
"600","Urban",0,0,"Official"
"601","Rural",1,0,"Official"
"602","Urban",0,0,"Official"
"603","Urban",1,0,"Official"
"604","Rural",0,0,"Official"
"605","Urban",0,0,"Official"
"606","Urban",1,0,"Official"
"607","Urban",3,2,"Official"
"608","Urban",2,0,"Official"
"609","Urban",0,0,"Official"
"610","Rural",0,0,"Official"
"611","Urban",1,0,"Official"
"612","Urban",0,0,"Official"
"613","Urban",0,0,"Official"
"614","Urban",0,0,"Official"
"615","Rural",0,0,"Official"
"616","Rural",0,0,"Official"
"617","Urban",0,0,"Official"
"618","Rural",0,0,"Official"
"619","Urban",1,0,"Official"
"620","Rural",0,0,"Official"
"621","Urban",1,2,"Official"
"622","Urban",0,1,"Official"
"623","Urban",1,6,"Official"
"624","Urban",2,2,"Official"
"625","Urban",3,0,"Official"
"626","Urban",0,0,"Official"
"627","Urban",0,0,"Official"
"628","Urban",0,0,"Official"
"629","Rural",1,0,"Official"
"630","Urban",0,0,"Official"
"631","Rural",3,0,"Official"
"632","Urban",0,2,"Official"
"633","Rural",0,0,"Official"
"634","Urban",4,4,"Official"
"635","Rural",0,0,"Official"
"636","Urban",1,0,"Official"
"637","Urban",1,0,"Official"
"638","Urban",0,0,"Official"
"639","Rural",1,2,"Official"
"640","Urban",0,0,"Official"
"641","Urban",2,1,"Official"
"642","Urban",1,0,"Official"
"643","Urban",1,1,"Official"
"644","Rural",0,0,"Official"
"645","Urban",3,0,"Official"
"646","Urban",1,1,"Official"
"647","Rural",0,0,"Official"
"648","Urban",1,1,"Official"
"649","Urban",2,0,"Official"
"650","Rural",0,0,"Official"
"651","Rural",0,0,"Official"
"652","Urban",0,0,"Official"
"653","Urban",0,1,"Official"
"654","Urban",0,0,"Official"
"655","Urban",0,0,"Official"
"656","Urban",0,0,"Official"
"657","Urban",0,0,"Official"
"658","Urban",0,0,"Official"
"659","Urban",0,0,"Official"
"660","Rural",0,0,"Official"
"661","Urban",7,3,"Official"
"662","Urban",0,0,"Official"
"663","Urban",0,0,"Official"
"664","Urban",1,2,"Official"
"665","Urban",0,0,"Official"
"666","Urban",0,0,"Official"
"667","Urban",0,0,"Official"
"668","Urban",1,1,"Official"
"669","Urban",0,1,"Official"
"670","Urban",0,0,"Official"
"671","Urban",1,1,"Official"
"672","Rural",0,1,"Official"
"673","Rural",0,0,"Official"
"674","Urban",0,0,"Official"
"675","Rural",0,0,"Official"
"676","Urban",0,0,"Official"
"677","Rural",0,0,"Official"
"678","Urban",0,0,"Official"
"679","Rural",0,0,"Official"
"680","Rural",0,0,"Official"
"681","Urban",0,0,"Official"
"682","Rural",0,0,"Official"
"683","Urban",0,0,"Official"
"684","Urban",1,1,"Official"
"685","Urban",0,1,"Official"
"686","Rural",1,0,"Official"
"687","Urban",1,1,"Official"
"688","Rural",1,0,"Official"
"689","Rural",0,0,"Official"
"690","Urban",0,0,"Official"
"691","Urban",2,1,"Official"
"692","Urban",1,1,"Official"
"693","Urban",1,0,"Official"
"694","Rural",1,0,"Official"
"695","Urban",0,0,"Official"
"696","Urban",1,1,"Official"
"697","Urban",2,2,"Official"
"698","Urban",1,0,"Official"
"699","Urban",2,0,"Official"
"700","Rural",0,0,"Official"
"701","Urban",4,1,"Official"
"702","Rural",0,0,"Official"
"703","Rural",0,1,"Official"
"704","Urban",1,0,"Official"
"705","Urban",0,0,"Official"
"706","Rural",0,0,"Official"
"707","Urban",0,0,"Official"
"708","Rural",0,0,"Official"
"709","Urban",0,0,"Official"
"710","Urban",0,0,"Official"
"711","Urban",0,0,"Official"
"712","Urban",0,0,"Official"
"713","Urban",3,0,"Official"
"714","Urban",1,0,"Official"
"715","Urban",3,1,"Official"
"716","Rural",0,0,"Official"
"717","Rural",0,0,"Official"
"718","Urban",0,0,"Official"
"719","Urban",2,1,"Official"
"720","Urban",1,2,"Official"
"721","Urban",0,0,"Official"
"722","Urban",0,0,"Official"
"723","Urban",1,0,"Official"
"724","Rural",0,0,"Official"
"725","Urban",1,0,"Official"
"726","Urban",2,2,"Official"
"727","Urban",1,0,"Official"
"728","Urban",1,0,"Official"
"729","Urban",3,1,"Official"
"730","Urban",5,11,"Official"
"731","Rural",0,0,"Official"
"732","Rural",0,0,"Official"
"733","Rural",0,0,"Official"
"734","Urban",1,0,"Official"
"735","Rural",0,0,"Official"
"736","Urban",0,0,"Official"
"737","Urban",1,0,"Official"
"738","Urban",3,2,"Official"
"739","Urban",0,0,"Official"
"740","Urban",2,0,"Official"
"741","Urban",0,0,"Official"
"742","Urban",0,1,"Official"
"743","Rural",0,0,"Official"
"744","Urban",0,0,"Official"
"745","Urban",1,1,"Official"
"746","Urban",1,0,"Official"
"747","Urban",3,0,"Official"
"748","Urban",1,1,"Official"
"749","Urban",2,2,"Official"
"750","Rural",0,0,"Official"
"751","Urban",2,3,"Official"
"752","Urban",0,1,"Official"
"753","Urban",1,0,"Official"
"754","Rural",0,0,"Official"
"755","Urban",0,3,"Official"
"756","Urban",0,1,"Official"
"757","Urban",1,2,"Official"
"758","Urban",0,0,"Official"
"759","Urban",0,0,"Official"
"760","Urban",0,1,"Official"
"761","Rural",0,0,"Official"
"762","Rural",0,0,"Official"
"763","Urban",0,3,"Official"
"764","Urban",0,0,"Official"
"765","Urban",0,2,"Official"
"766","Urban",0,1,"Official"
"767","Urban",1,0,"Official"
"768","Urban",1,0,"Official"
"769","Urban",0,0,"Official"
"770","Urban",3,6,"Official"
"771","Urban",0,1,"Official"
"772","Urban",2,0,"Official"
"773","Urban",1,1,"Official"
"774","Urban",1,2,"Official"
"775","Rural",0,0,"Official"
"776","Urban",1,0,"Official"
"777","Urban",0,0,"Official"
"778","Rural",0,0,"Official"
"779","Urban",0,1,"Official"
"780","Urban",2,0,"Official"
"781","Urban",3,1,"Official"
"782","Urban",0,0,"Official"
"783","Rural",0,0,"Official"
"784","Urban",2,0,"Official"
"785","Rural",0,0,"Official"
"786","Urban",0,0,"Official"
"787","Urban",1,2,"Official"
"788","Urban",2,0,"Official"
"789","Urban",3,5,"Official"
"790","Urban",4,0,"Official"
"791","Urban",1,1,"Official"
"792","Urban",0,0,"Official"
"793","Urban",3,0,"Official"
"794","Urban",3,1,"Official"
"795","Urban",0,0,"Official"
"796","Urban",1,1,"Official"
"797","Rural",0,0,"Official"
"798","Urban",0,1,"Official"
"799","Urban",0,2,"Official"
"800","Urban",0,0,"Official"
"801","Urban",1,3,"Official"
"802","Urban",0,2,"Official"
"803","Urban",3,0,"Official"
"804","Urban",0,0,"Official"
"805","Urban",1,2,"Official"
"806","Urban",0,4,"Official"
"807","Urban",0,0,"Official"
"808","Urban",1,0,"Official"
"809","Urban",0,0,"Official"
"810","Urban",0,2,"Official"
"811","Urban",2,3,"Official"
"812","Urban",1,0,"Official"
"813","Urban",0,0,"Official"
"814","Urban",0,1,"Official"
"815","Urban",0,0,"Official"
"816","Rural",0,0,"Official"
"817","Urban",0,4,"Official"
"818","Rural",0,0,"Official"
"819","Urban",2,1,"Official"
"820","Urban",1,1,"Official"
"821","Urban",0,1,"Official"
"822","Urban",2,2,"Official"
"823","Rural",0,0,"Official"
"824","Urban",0,0,"Official"
"825","Urban",0,0,"Official"
"826","Urban",0,4,"Official"
"827","Urban",1,0,"Official"
"828","Urban",0,1,"Official"
"829","Urban",1,2,"Official"
"830","Rural",0,0,"Official"
"831","Urban",0,0,"Official"
"832","Urban",0,0,"Official"
"833","Rural",0,0,"Official"
"834","Urban",4,5,"Official"
"835","Urban",1,0,"Official"
"836","Urban",0,0,"Official"
"837","Urban",0,2,"Official"
"838","Urban",1,1,"Official"
"839","Urban",0,1,"Official"
"840","Urban",1,2,"Official"
"841","Urban",1,0,"Official"
"842","Urban",0,0,"Official"
"843","Urban",0,0,"Official"
"844","Urban",0,0,"Official"
"845","Urban",1,0,"Official"
"846","Urban",0,0,"Official"
"847","Urban",2,3,"Official"
"848","Urban",1,1,"Official"
"849","Urban",1,1,"Official"
"850","Urban",0,0,"Official"
"851","Urban",2,0,"Official"
"852","Urban",1,1,"Official"
"853","Urban",0,1,"Official"
"854","Urban",1,0,"Official"
"855","Urban",2,0,"Official"
"856","Urban",2,0,"Official"
"857","Urban",1,2,"Official"
"858","Rural",0,0,"Official"
"859","Urban",1,1,"Official"
"860","Urban",3,2,"Official"
"861","Urban",1,0,"Official"
"862","Urban",2,1,"Official"
"863","Urban",1,0,"Official"
"864","Urban",0,0,"Official"
"865","Urban",0,3,"Official"
"866","Urban",1,2,"Official"
"867","Urban",0,0,"Official"
"868","Urban",1,1,"Official"
"869","Rural",0,0,"Official"
"870","Urban",2,2,"Official"
