"","lu_rail_dlr","recorded_date","committed_date_time","source","crime_desc","victim_gender","age","diff","age_n","victim_year_of_birth","historic","futurecrimes"
"4455","London Underground",2017-02-13,2017-02-12 03:30:00,"Other 3rd party reporting","E28  Sexual Assault On A Female Aged 13 And Over No Penetration (E28)","Female",NA,20H 30M 0S,34,1983,0,0
"4456","London Underground",2017-02-13,2017-02-13 07:40:00,"Non-emergency telephone call e.g. (101)","E28  Sexual Assault On A Female Aged 13 And Over No Penetration (E28)","Female",NA,-7H -40M 0S,27,1990,0,0
"4457","National Rail",2017-02-13,2017-02-13 08:25:00,"Reported in person - Outside police station","E28  Sexual Assault On A Female Aged 13 And Over No Penetration (E28)","Female",NA,-8H -25M 0S,24,1993,0,0
"4458","London Underground",2017-02-13,2017-02-13 17:25:00,"Non-emergency telephone call e.g. (101)","E28  Sexual Assault On A Female Aged 13 And Over No Penetration (E28)","Female",NA,-17H -25M 0S,NA,NA,0,0
"4459","London Underground",2017-02-13,2017-02-13 17:30:00,"Reported in person - Outside police station","E28  Sexual Assault On A Female Aged 13 And Over No Penetration (E28)","Female",NA,-17H -30M 0S,NA,NA,0,0
"4460","National Rail",2017-02-13,2017-02-13 21:55:00,"Text message to the Police","E22  Rape Of A Female Aged 16 And Over (E22)","Female",NA,-21H -55M 0S,42,1975,0,0
"4461","London Underground",2017-02-14,2017-02-13 21:14:00,"Text message to the Police","E14  Sexual Offences - Committing An Act Outraging Public Decency (E14)","Regina Offence",NA,2H 46M 0S,NA,NA,0,0
"4462","London Underground",2017-02-14,2017-02-13 23:30:00,"Non-emergency telephone call e.g. (101)","E28  Sexual Assault On A Female Aged 13 And Over No Penetration (E28)","Female",NA,30M 0S,NA,NA,0,0
"4463","London Underground",2017-02-15,2017-02-14 09:38:00,"Other 3rd party reporting","E14  Sexual Offences - Committing An Act Outraging Public Decency (E14)","Regina Offence",NA,14H 22M 0S,NA,NA,0,0
"4464","London Underground",2017-02-15,2017-02-15 09:40:00,"Non-emergency telephone call e.g. (101)","E28  Sexual Assault On A Female Aged 13 And Over No Penetration (E28)","Female",NA,-9H -40M 0S,27,1990,0,0
"4465","London Underground",2017-02-15,2017-02-15 09:42:00,"Non-emergency telephone call e.g. (101)","E28  Sexual Assault On A Female Aged 13 And Over No Penetration (E28)","Female",NA,-9H -42M 0S,23,1994,0,0
"4466","Docklands Light Railways",2017-02-15,2017-02-15 18:35:00,"Non-emergency telephone call e.g. (101)","E28  Sexual Assault On A Female Aged 13 And Over No Penetration (E28)","Female",NA,-18H -35M 0S,25,1992,0,0
