"","lu_rail_dlr","recorded_date","committed_date_time","source","crime_desc","victim_gender","age","diff","age_n","victim_year_of_birth","historic","futurecrimes"
"1107","LONDON UNDERGROUND",2016-12-08,2016-12-08 07:50:00,"Public non emergency","Sexual Assault On A Female Aged 13 And Over No Penetration","F","37",-7H -50M 0S,37,1979,0,0
"1108","LONDON UNDERGROUND",2016-12-08,2016-12-08 09:10:00,"Public non emergency","Sexual Assault On A Female Aged 13 And Over No Penetration","F","27",-9H -10M 0S,27,1989,0,0
"1109","LONDON UNDERGROUND",2016-12-08,2016-12-08 08:05:00,"Public non emergency","Sexual Assault On A Female Aged 13 And Over No Penetration","F","25",-8H -5M 0S,25,1991,0,0
"1110","LONDON UNDERGROUND",2016-12-08,2016-12-08 14:15:00,"CAD","Causing Or Inciting S A Child Under 13 To Engage In Sexual Activity","M","14",-14H -15M 0S,14,2002,0,0
"1111","LONDON UNDERGROUND",2016-12-08,2016-12-08 09:00:00,"CAD","Sexual Assault On A Female Aged 13 And Over No Penetration","F","27",-9H 0M 0S,27,1989,0,0
"1112","LONDON UNDERGROUND",2016-12-08,2016-12-08 08:30:00,"Public non emergency","Sexual Assault On A Female Aged 13 And Over No Penetration","F","29",-8H -30M 0S,29,1987,0,0
"1113","LONDON UNDERGROUND",2016-12-08,2016-12-08 17:40:00,"Text","Sexual Assault On A Female Aged 13 And Over No Penetration","F","26",-17H -40M 0S,26,1990,0,0
"1114","NATIONAL RAIL",2016-12-08,2016-12-08 19:36:00,"HO Police","Sexual Assault On A Female Aged 13 And Over No Penetration","F","21",-19H -36M 0S,21,1995,0,0
"1115","NATIONAL RAIL",2016-12-09,2016-12-06 16:15:00,"Public non emergency","Sexual Assault On A Male Child Under 13 No Penetration","M","12",2d 7H 45M 0S,12,2004,1,0
"1116","LONDON UNDERGROUND",2016-12-09,2016-12-08 18:30:00,"Text","Sexual Assault On A Female Aged 13 And Over No Penetration","F","28",5H 30M 0S,28,1988,0,0
"1117","LONDON UNDERGROUND",2016-12-09,2016-12-09 09:00:00,"Public non emergency","Sexual Assault On A Female Aged 13 And Over No Penetration","F","29",-9H 0M 0S,29,1987,0,0
"1118","LONDON UNDERGROUND",2016-12-09,2016-12-09 13:55:00,"Public non emergency","Sexual Assault On A Female Aged 13 And Over No Penetration","F","23",-13H -55M 0S,23,1993,0,0
"1119","LONDON UNDERGROUND",2016-12-09,2016-12-09 14:10:00,"BTP","Sexual Assault On A Female Aged 13 And Over No Penetration","F","21",-14H -10M 0S,21,1995,0,0
"1120","NATIONAL RAIL",2016-12-09,2016-12-07 20:15:00,"HO Police","Sexual Assault On A Female Aged 13 And Over No Penetration","F","16",1d 3H 45M 0S,16,2000,1,0
"1121","LONDON UNDERGROUND",2016-12-10,2016-12-09 22:27:00,"CAD","Sexual Assault On A Female Aged 13 And Over No Penetration","F","25",1H 33M 0S,25,1991,0,0
"1122","LONDON UNDERGROUND",2016-12-10,2016-12-10 15:35:00,"BTP Radio","Sexual Assault On A Female Aged 13 And Over No Penetration","F","61",-15H -35M 0S,61,1955,0,0
"1123","LONDON UNDERGROUND",2016-12-10,2016-12-09 23:45:00,"Public non emergency","Sexual Assault On A Female Aged 13 And Over No Penetration","F","37",15M 0S,37,1979,0,0
"1124","NATIONAL RAIL",2016-12-10,2016-12-10 18:47:00,"Public non emergency","Sexual Assault On A Female Aged 13 And Over No Penetration","F","50",-18H -47M 0S,50,1966,0,0
"1125","NATIONAL RAIL",2016-12-10,2016-12-10 20:42:00,"BTP Radio","Sexual Grooming - Female","F","Not Known",-20H -42M 0S,NA,NA,0,0
"1126","NATIONAL RAIL",2016-12-11,2016-12-10 20:20:00,"BTP Radio","Sexual Assault On A Male Aged 13 And Over No Penetration","M","25",3H 40M 0S,25,1991,0,0
"1127","LONDON UNDERGROUND",2016-12-11,2016-12-10 22:20:00,"BTP","Sexual Assault On A Female Aged 13 And Over No Penetration","F","25",1H 40M 0S,25,1991,0,0
"1128","LONDON UNDERGROUND",2016-12-11,2016-12-09 23:30:00,"Text","Sexual Assault On A Female Aged 13 And Over No Penetration","F","20",1d 0H 30M 0S,20,1996,1,0
"1129","LONDON UNDERGROUND",2016-12-11,2016-12-11 22:18:00,"Rail non emergency","Sexual Assault On A Female Aged 13 And Over No Penetration","F","24",-22H -18M 0S,24,1992,0,0
"1130","LONDON UNDERGROUND",2016-12-12,2016-12-12 00:10:00,"Public non emergency","Sexual Assault On A Female Aged 13 And Over No Penetration","F","22",-10M 0S,22,1994,0,0
"1131","LONDON UNDERGROUND",2016-12-12,2016-12-11 09:00:00,"Text","Sexual Assault On A Male Aged 13 And Over No Penetration","M","25",15H 0M 0S,25,1991,0,0
"1132","LONDON UNDERGROUND",2016-12-12,2016-12-12 18:00:00,"HO Police","Sexual Assault On A Female Aged 13 And Over No Penetration","F","36",-18H 0M 0S,36,1980,0,0
"1133","LONDON UNDERGROUND",2016-12-13,2016-12-13 06:30:00,"Text","Exposure","F","38",-6H -30M 0S,38,1978,0,0
"1134","LONDON UNDERGROUND",2016-12-13,2016-12-13 08:20:00,"BTP","Sexual Assault On A Female Aged 13 And Over No Penetration","F","35",-8H -20M 0S,35,1981,0,0
"1135","LONDON UNDERGROUND",2016-12-13,2016-12-13 07:35:00,"CAD","Sexual Assault On A Female Aged 13 And Over No Penetration","F","30",-7H -35M 0S,30,1986,0,0
"1136","LONDON UNDERGROUND",2016-12-13,2016-12-13 10:45:00,"BTP","Sexual Assault On A Female Aged 13 And Over No Penetration","F","15",-10H -45M 0S,15,2001,0,0
"1137","LONDON UNDERGROUND",2016-12-13,2016-12-13 08:06:00,"Text","Sexual Assault On A Female Aged 13 And Over No Penetration","F","27",-8H -6M 0S,27,1989,0,0
"1138","LONDON UNDERGROUND",2016-12-13,2016-12-13 19:30:00,"Public non emergency","Sexual Assault On A Female Aged 13 And Over No Penetration","F","24",-19H -30M 0S,24,1992,0,0
"1139","NATIONAL RAIL",2016-12-14,2016-12-10 23:12:00,"Social media","Sexual Assault On A Female Aged 13 And Over No Penetration","not specified","Not Known",3d 0H 48M 0S,NA,NA,1,0
"1140","LONDON UNDERGROUND",2016-12-14,2016-12-13 23:10:00,"Text","Sexual Assault On A Female Aged 13 And Over No Penetration","F","30",50M 0S,30,1986,0,0
"1141","LONDON UNDERGROUND",2016-12-14,2016-12-14 15:30:00,"Public non emergency","Sexual Assault On A Female Aged 13 And Over No Penetration","F","29",-15H -30M 0S,29,1987,0,0
"1142","NATIONAL RAIL",2016-12-14,2016-12-14 08:00:00,"Public non emergency","Sexual Assault On A Female Aged 13 And Over No Penetration","F","31",-8H 0M 0S,31,1985,0,0
"1143","LONDON UNDERGROUND",2016-12-14,2016-12-13 23:25:00,"BTP","Sexual Assault On A Female Aged 13 And Over No Penetration","F","31",35M 0S,31,1985,0,0
"1144","LONDON UNDERGROUND",2016-12-14,2016-12-14 07:00:00,"Text","Sexual Assault On A Female Aged 13 And Over No Penetration","F","25",-7H 0M 0S,25,1991,0,0
"1145","NATIONAL RAIL",2016-12-15,2016-12-14 22:00:00,"BTP","Sexual Assault On A Female Aged 13 And Over No Penetration","F","30",2H 0M 0S,30,1986,0,0
"1146","DLR",2016-12-15,2016-12-14 20:30:00,"CAD","Sexual Assault On A Female Aged 13 And Over No Penetration","F","24",3H 30M 0S,24,1992,0,0
"1147","NATIONAL RAIL",2016-12-15,2016-12-12 23:59:00,"Rail non emergency","Sexual Assault On A Female Aged 13 And Over No Penetration","F","25",2d 0H 1M 0S,25,1991,1,0
"1148","NATIONAL RAIL",2016-12-15,2016-12-10 05:06:00,"HO Police","Sexual Assault On A Female Aged 13 And Over No Penetration","F","Not Known",4d 18H 54M 0S,NA,NA,1,0
"1149","LONDON UNDERGROUND",2016-12-15,2016-12-15 08:10:00,"Text","Sexual Assault On A Female Aged 13 And Over No Penetration","F","28",-8H -10M 0S,28,1988,0,0
"1150","LONDON UNDERGROUND",2016-12-16,2016-12-16 07:50:00,"Public non emergency","Sexual Assault On A Female Aged 13 And Over No Penetration","F","32",-7H -50M 0S,32,1984,0,0
"1151","LONDON UNDERGROUND",2016-12-16,2016-12-16 08:35:00,"BTP","Sexual Assault On A Female Aged 13 And Over No Penetration","F","23",-8H -35M 0S,23,1993,0,0
"1152","LONDON UNDERGROUND",2016-12-16,2016-12-02 07:50:00,"BTP","Sexual Assault On A Female Aged 13 And Over No Penetration","F","25",13d 16H 10M 0S,25,1991,1,0
"1153","LONDON UNDERGROUND",2016-12-16,2016-12-16 16:00:00,"Rail non emergency","Sexual Assault On A Female Aged 13 And Over No Penetration","F","Not Known",-16H 0M 0S,NA,NA,0,0
"1154","LONDON UNDERGROUND",2016-12-16,2016-12-16 08:30:00,"Text","Sexual Assault On A Female Aged 13 And Over No Penetration","F","17",-8H -30M 0S,17,1999,0,0
"1155","LONDON UNDERGROUND",2016-12-16,2016-12-16 22:10:00,"Text","Sexual Assault On A Female Aged 13 And Over No Penetration","F","28",-22H -10M 0S,28,1988,0,0
"1156","NATIONAL RAIL",2016-12-17,2016-12-14 07:07:00,"CAD","Sexual Assault On A Female Aged 13 And Over No Penetration","F","32",2d 16H 53M 0S,32,1984,1,0
"1157","LONDON UNDERGROUND",2016-12-17,2016-12-14 17:31:00,"BTP Radio","Sexual Assault On A Female Aged 13 And Over No Penetration","F","13",2d 6H 29M 0S,13,2003,1,0
"1158","NATIONAL RAIL",2016-12-18,2016-12-17 13:22:00,"Text","Sexual Assault On A Female Aged 13 And Over No Penetration","F","14",10H 38M 0S,14,2002,0,0
"1159","LONDON UNDERGROUND",2016-12-18,2016-12-15 08:15:00,"Text","Sexual Assault On A Female Aged 13 And Over No Penetration","not specified","Not Known",2d 15H 45M 0S,NA,NA,1,0
"1160","LONDON UNDERGROUND",2016-12-18,2016-12-17 00:24:00,"Public non emergency","Sexual Assault On A Female Aged 13 And Over No Penetration","F","33",23H 36M 0S,33,1983,0,0
"1161","LONDON UNDERGROUND",2016-12-18,2016-12-17 15:20:00,"Public non emergency","Voyeurism","M","36",8H 40M 0S,36,1980,0,0
"1162","LONDON UNDERGROUND",2016-12-18,2016-12-18 19:05:00,"Public non emergency","Sexual Assault On A Female Aged 13 And Over No Penetration","F","24",-19H -5M 0S,24,1992,0,0
"1163","LONDON UNDERGROUND",2016-12-19,1989-01-01 09:00:00,"Email","Causing Or Inciting S A Child Under 16 To Engage In Sexual Activity","F","14",27y 11m 17d 15H 0M 0S,14,1975,1,0
"1164","NATIONAL RAIL",2016-12-19,2016-12-17 10:39:00,"CAD","Sexual Assault On A Female Aged 13 And Over No Penetration","F","Not Known",1d 13H 21M 0S,NA,NA,1,0
"1165","LONDON UNDERGROUND",2016-12-19,2016-12-16 18:30:00,"Email","Sexual Assault On A Female Child Under 13 No Penetration","F","26",2d 5H 30M 0S,26,1990,1,0
"1166","LONDON UNDERGROUND",2016-12-19,2016-12-19 19:50:00,"Public non emergency","Sexual Assault On A Female Aged 13 And Over No Penetration","F","27",-19H -50M 0S,27,1989,0,0
"1167","NATIONAL RAIL",2016-12-20,2016-12-17 00:45:00,"Public non emergency","Sexual Assault On A Female Aged 13 And Over No Penetration","F","25",2d 23H 15M 0S,25,1991,1,0
"1168","LONDON UNDERGROUND",2016-12-20,2016-12-19 21:30:00,"Text","Sexual Assault On A Female Aged 13 And Over No Penetration","F","26",2H 30M 0S,26,1990,0,0
"1169","LONDON UNDERGROUND",2016-12-20,2016-12-20 09:30:00,"Rail non emergency","Sexual Assault On A Female Aged 13 And Over No Penetration","F","28",-9H -30M 0S,28,1988,0,0
"1170","LONDON UNDERGROUND",2016-12-20,2016-12-20 08:57:00,"BTP","Sexual Assault On A Female Aged 13 And Over No Penetration","F","Not Known",-8H -57M 0S,NA,NA,0,0
"1171","NATIONAL RAIL",2016-12-21,2016-12-21 00:37:00,"CAD","Sexual Assault On A Female Aged 13 And Over No Penetration","F","22",-37M 0S,22,1994,0,0
"1172","NATIONAL RAIL",2016-12-22,2016-12-19 08:19:00,"Email","Sexual Assault On A Female Child Under 13 No Penetration","F","12",2d 15H 41M 0S,12,2004,1,0
"1173","LONDON UNDERGROUND",2016-12-22,2016-12-21 08:50:00,"Public non emergency","Sexual Assault On A Female Aged 13 And Over No Penetration","F","32",15H 10M 0S,32,1984,0,0
"1174","NATIONAL RAIL",2016-12-22,2016-12-22 14:15:00,"BTP","Exposure","F","9",-14H -15M 0S,9,2007,0,0
"1175","LONDON UNDERGROUND",2016-12-22,2016-12-21 20:40:00,"Text","Sexual Assault On A Female Aged 13 And Over No Penetration","F","27",3H 20M 0S,27,1989,0,0
"1176","LONDON UNDERGROUND",2016-12-22,2016-12-22 15:10:00,"Public non emergency","Sexual Assault On A Female Aged 13 And Over No Penetration","F","19",-15H -10M 0S,19,1997,0,0
"1177","NATIONAL RAIL",2016-12-22,2016-12-13 07:20:00,"BTP","Sexual Assault On A Female Aged 13 And Over No Penetration","F","25",8d 16H 40M 0S,25,1991,1,0
"1178","NATIONAL RAIL",2016-12-23,2016-12-22 22:04:00,"Text","Sexual Assault On A Female Aged 13 And Over No Penetration","F","21",1H 56M 0S,21,1995,0,0
"1179","LONDON UNDERGROUND",2016-12-23,2016-12-23 06:45:00,"Other police force","Sexual Assault On A Female Aged 13 And Over No Penetration","F","34",-6H -45M 0S,34,1982,0,0
"1180","NATIONAL RAIL",2016-12-24,2016-12-23 18:25:00,"CAD","Exposure","F","18",5H 35M 0S,18,1998,0,0
"1181","LONDON UNDERGROUND",2016-12-24,2016-12-24 14:50:00,"Rail non emergency","Sexual Assault On A Female Aged 13 And Over No Penetration","F","25",-14H -50M 0S,25,1991,0,0
"1182","LONDON UNDERGROUND",2016-12-26,2016-12-26 07:43:00,"Rail non emergency","Sexual Assault On A Male Aged 13 And Over No Penetration","M","24",-7H -43M 0S,24,1992,0,0
"1183","LONDON UNDERGROUND",2016-12-28,2016-12-28 08:40:00,"Text","Sexual Assault On A Female Aged 13 And Over No Penetration","F","23",-8H -40M 0S,23,1993,0,0
"1184","LONDON UNDERGROUND",2016-12-29,2016-12-29 12:10:00,"Public non emergency","Sexual Assault On A Female Aged 13 And Over No Penetration","F","19",-12H -10M 0S,19,1997,0,0
"1185","NATIONAL RAIL",2016-12-29,2016-12-29 17:16:00,"Public non emergency","Indecent Exposure Insult Female","F","21",-17H -16M 0S,21,1995,0,0
"1186","NATIONAL RAIL",2016-12-29,2016-12-28 23:20:00,"HO Police","Sexual Assault On A Female Aged 13 And Over No Penetration","F","44",40M 0S,44,1972,0,0
"1187","LONDON UNDERGROUND",2016-12-30,2016-12-29 11:50:00,"BTP","Sexual Assault On A Female Aged 13 And Over No Penetration","F","20",12H 10M 0S,20,1996,0,0
"1188","DLR",2016-12-30,2016-11-02 17:00:00,"BTP","Exposure","F","25",1m 27d 7H 0M 0S,25,1991,1,0
"1189","LONDON UNDERGROUND",2016-12-31,2016-12-28 00:00:00,"Social media","Exposure","F","Not Known",3d 0H 0M 0S,NA,NA,1,0
"1190","NATIONAL RAIL",2016-12-31,2016-12-31 11:45:00,"BTP","Sexual Grooming - Male",NA,"Not Known",-11H -45M 0S,NA,NA,0,0
"1191","NATIONAL RAIL",2017-01-01,2016-12-31 21:40:00,"BTP Radio","Sexual Assault On A Female Aged 13 And Over No Penetration","F","22",2H 20M 0S,22,1994,0,0
"1192","LONDON UNDERGROUND",2017-01-01,2017-01-01 05:34:00,"BTP","Sexual Assault On A Female Aged 13 And Over No Penetration","F","36",-5H -34M 0S,36,1981,0,0
"1193","LONDON UNDERGROUND",2017-01-01,2017-01-01 14:35:00,"BTP","Sexual Assault On A Female Aged 13 And Over No Penetration","F","29",-14H -35M 0S,29,1988,0,0
"1194","LONDON UNDERGROUND",2017-01-01,2017-01-01 04:50:00,"Rail non emergency","Exposure",NA,"29",-4H -50M 0S,29,1988,0,0
"1195","NATIONAL RAIL",2014-01-07,2014-01-07 07:40:00,"Not Stated","Sexual Assault On A Female Aged 13 And Over No Penetration","F","18",-7H -40M 0S,18,1996,0,0
"1196","NATIONAL RAIL",2014-01-07,2014-01-07 08:15:00,"Not Stated","Sexual Assault On A Female Aged 13 And Over No Penetration","F","31",-8H -15M 0S,31,1983,0,0
"1197","NATIONAL RAIL",2012-01-11,2011-11-25 05:45:00,"Not Stated","Sexual Assault On A Female Aged 13 And Over No Penetration","F","32",1m 16d 18H 15M 0S,32,1979,1,0
"1198","NATIONAL RAIL",2014-01-11,2014-01-10 20:42:00,"Not Stated","Sexual Assault On A Female Aged 13 And Over No Penetration","F","31",3H 18M 0S,31,1983,0,0
"1199","NATIONAL RAIL",2013-01-12,2013-01-12 10:10:00,"Not Stated","Exposure","F","Not Known",-10H -10M 0S,NA,NA,0,0
"1200","NATIONAL RAIL",2014-01-14,2014-01-06 20:15:00,"Not Stated","Sexual Assault On A Female Aged 13 And Over No Penetration","F","23",7d 3H 45M 0S,23,1991,1,0
"1201","NATIONAL RAIL",2014-02-21,2014-02-20 19:10:00,"Not Stated","Exposure","F","28",4H 50M 0S,28,1986,0,0
"1202","NATIONAL RAIL",2012-03-05,2011-10-01 23:59:00,"Not Stated","Sexual Assault On A Female Aged 13 And Over No Penetration","F","23",5m 3d 0H 1M 0S,23,1988,1,0
"1203","NATIONAL RAIL",2012-03-10,2012-03-09 20:10:00,"Not Stated","Sexual Assault On A Female Aged 13 And Over No Penetration","F","Not Known",3H 50M 0S,NA,NA,0,0
"1204","NATIONAL RAIL",2012-03-29,2012-03-29 08:00:00,"Not Stated","Sexual Assault On A Female Aged 13 And Over No Penetration","M","31",-8H 0M 0S,31,1981,0,0
"1205","NATIONAL RAIL",2012-04-02,2012-03-31 21:30:00,"Not Stated","Sexual Assault On A Male Aged 13 And Over No Penetration","M","16",1d 2H 30M 0S,16,1996,1,0
"1206","NATIONAL RAIL",2013-03-31,2013-03-25 17:25:00,"Not Stated","Sexual Assault On A Female Aged 13 And Over No Penetration","F","43",5d 6H 35M 0S,43,1970,1,0
"1207","NATIONAL RAIL",2013-04-06,2013-04-06 16:35:00,"Not Stated","Sexual Assault On A Female Aged 13 And Over No Penetration","F","17",-16H -35M 0S,17,1996,0,0
"1208","NATIONAL RAIL",2013-05-01,2009-12-31 23:59:00,"Not Stated","Sexual Assault On A Female Aged 13 And Over No Penetration","F","43",3y 4m 0d 0H 1M 0S,43,1966,1,0
"1209","NATIONAL RAIL",2013-08-11,2013-08-10 21:25:00,"Not Stated","Sexual Assault On A Female Aged 13 And Over No Penetration","F","19",2H 35M 0S,19,1994,0,0
"1210","NATIONAL RAIL",2013-08-14,2013-08-10 14:15:00,"Not Stated","Exposure","F","13",3d 9H 45M 0S,13,2000,1,0
"1211","NATIONAL RAIL",2013-08-14,2013-08-10 14:15:00,"Not Stated","Exposure","F","14",3d 9H 45M 0S,14,1999,1,0
"1212","NATIONAL RAIL",2012-09-05,2012-09-02 02:40:00,"Not Stated","Sexual Assault On A Female Aged 13 And Over No Penetration","F","27",2d 21H 20M 0S,27,1985,1,0
"1213","NATIONAL RAIL",2013-08-27,2013-08-26 21:00:00,"Not Stated","Sexual Assault On A Male Aged 13 And Over No Penetration","M","23",3H 0M 0S,23,1990,0,0
"1214","NATIONAL RAIL",2012-09-08,2012-09-08 10:00:00,"Not Stated","Sexual Assault On A Female Aged 13 And Over No Penetration","F","28",-10H 0M 0S,28,1984,0,0
"1215","NATIONAL RAIL",2012-09-11,2012-09-08 10:45:00,"Not Stated","Sexual Assault On A Female Aged 13 And Over No Penetration","F","20",2d 13H 15M 0S,20,1992,1,0
"1216","NATIONAL RAIL",2013-11-28,2013-10-04 23:05:00,"Not Stated","Sexual Offences - Committing An Act Outraging Public Decency","Regina Offence",NA,1m 23d 0H 55M 0S,NA,NA,1,0
"1217","NATIONAL RAIL",2014-01-20,2014-01-18 19:50:00,"Not Stated","Sexual Assault On A Female Aged 13 And Over No Penetration","F","37",1d 4H 10M 0S,37,1977,1,0
"1218","NATIONAL RAIL",2014-01-29,2013-12-25 23:59:00,"Not Stated","Rape Of A Male Aged 16 And Over","M","39",1m 3d 0H 1M 0S,39,1974,1,0
"1219","NATIONAL RAIL",2013-03-09,2013-03-09 21:10:00,"Not Stated","Sexual Assault On A Female Aged 13 And Over No Penetration","F","31",-21H -10M 0S,31,1982,0,0
"1220","NATIONAL RAIL",2014-03-25,2014-03-25 10:00:00,"Not Stated","Voyeurism","F","36",-10H 0M 0S,36,1978,0,0
"1221","NATIONAL RAIL",2014-03-25,2014-03-25 16:00:00,"Not Stated","Sexual Assault On A Female Aged 13 And Over No Penetration","F","24",-16H 0M 0S,24,1990,0,0
"1222","NATIONAL RAIL",2013-03-23,2013-03-23 18:51:00,"Not Stated","Sexual Assault On A Female Aged 13 And Over No Penetration","F","Not Known",-18H -51M 0S,NA,NA,0,0
"1223","NATIONAL RAIL",2012-04-22,2012-03-05 17:00:00,"Not Stated","Exposure","F","Not Known",1m 16d 7H 0M 0S,NA,NA,1,0
"1224","NATIONAL RAIL",2013-06-03,2013-05-31 07:00:00,"Not Stated","Voyeurism","F","31",2d 17H 0M 0S,31,1982,1,0
"1225","NATIONAL RAIL",2012-07-01,2012-06-30 19:00:00,"Not Stated","Sexual Assault On A Female Aged 13 And Over No Penetration","F","34",5H 0M 0S,34,1978,0,0
"1226","NATIONAL RAIL",2013-06-26,2013-06-25 19:29:00,"Not Stated","Exposure","F","69",4H 31M 0S,69,1944,0,0
"1227","NATIONAL RAIL",2012-07-21,2012-07-21 10:35:00,"Not Stated","Exposure","F","66",-10H -35M 0S,66,1946,0,0
"1228","NATIONAL RAIL",2012-07-21,2012-07-21 10:35:00,"Not Stated","Exposure","F","70",-10H -35M 0S,70,1942,0,0
"1229","NATIONAL RAIL",2012-09-10,1982-04-30 23:59:00,"Not Stated","Rape Of A Male Aged 16 And Over",NA,"34",30y 4m 10d 0H 1M 0S,34,1948,1,0
"1230","NATIONAL RAIL",2013-09-24,2013-09-23 21:20:00,"Not Stated","Sexual Assault On A Female Aged 13 And Over No Penetration","F","57",2H 40M 0S,57,1956,0,0
"1231","NATIONAL RAIL",2013-10-26,2013-10-26 16:45:00,"Not Stated","Voyeurism","M","Not Known",-16H -45M 0S,NA,NA,0,0
"1232","NATIONAL RAIL",2013-11-11,2013-11-11 14:25:00,"Not Stated","Sexual Assault On A Female Aged 13 And Over No Penetration","F","51",-14H -25M 0S,51,1962,0,0
"1233","NATIONAL RAIL",2013-12-08,2013-12-07 19:25:00,"Not Stated","Sexual Assault On A Female Aged 13 And Over No Penetration","F","13",4H 35M 0S,13,2000,0,0
"1234","NATIONAL RAIL",2013-12-24,2013-12-23 17:15:00,"Not Stated","Sexual Assault On A Female Aged 13 And Over No Penetration","F","25",6H 45M 0S,25,1988,0,0
"1235","NATIONAL RAIL",2012-01-26,2012-01-26 00:30:00,"Not Stated","Sexual Assault On A Male Aged 13 And Over No Penetration","M","15",-30M 0S,15,1997,0,0
"1236","NATIONAL RAIL",2013-10-06,2013-10-06 13:20:00,"Not Stated","Sexual Offences - Committing An Act Outraging Public Decency","Regina Offence",NA,-13H -20M 0S,NA,NA,0,0
"1237","NATIONAL RAIL",2013-11-06,2013-11-01 22:05:00,"Not Stated","Sexual Assault On A Female Aged 13 And Over No Penetration","F","34",4d 1H 55M 0S,34,1979,1,0
"1238","NATIONAL RAIL",2012-11-23,2012-11-22 19:10:00,"Not Stated","Sexual Assault On A Female Aged 13 And Over No Penetration","F","18",4H 50M 0S,18,1994,0,0
"1239","NATIONAL RAIL",2013-11-25,2013-11-24 21:12:00,"Not Stated","Sexual Assault On A Female Aged 13 And Over No Penetration","F","17",2H 48M 0S,17,1996,0,0
"1240","NATIONAL RAIL",2013-11-25,2013-11-24 21:12:00,"Not Stated","Sexual Assault On A Female Aged 13 And Over No Penetration","F","20",2H 48M 0S,20,1993,0,0
"1241","NATIONAL RAIL",2013-11-30,2013-11-27 15:04:00,"Not Stated","Sexual Assault On A Female Aged 13 And Over No Penetration","F","30",2d 8H 56M 0S,30,1983,1,0
"1242","NATIONAL RAIL",2013-12-22,2013-12-20 20:45:00,"Not Stated","Sexual Assault On A Female Aged 13 And Over No Penetration","F","17",1d 3H 15M 0S,17,1996,1,0
"1243","NATIONAL RAIL",2013-02-19,2013-02-18 23:50:00,"Not Stated","Sexual Assault On A Female Aged 13 And Over No Penetration","F","29",10M 0S,29,1984,0,0
"1244","NATIONAL RAIL",2013-09-08,2013-09-07 21:41:00,"Not Stated","Exposure","M","28",2H 19M 0S,28,1985,0,0
"1245","NATIONAL RAIL",2013-11-10,2013-11-10 13:45:00,"Not Stated","Sexual Assault On A Female Aged 13 And Over No Penetration","F","32",-13H -45M 0S,32,1981,0,0
"1246","NATIONAL RAIL",2013-01-01,2012-12-31 21:30:00,"Not Stated","Sexual Assault On A Female Aged 13 And Over No Penetration","F","Not Known",2H 30M 0S,NA,NA,0,0
"1247","NATIONAL RAIL",2012-01-13,2012-01-13 15:15:00,"Not Stated","Sexual Assault On A Female Aged 13 And Over No Penetration","F","16",-15H -15M 0S,16,1996,0,0
"1248","NATIONAL RAIL",2013-01-24,1980-01-01 00:01:00,"Not Stated","Sexual Assault On A Female Aged 13 And Over No Penetration","F","16",33y 0m 22d 23H 59M 0S,16,1964,1,0
"1249","NATIONAL RAIL",2014-01-30,2013-11-09 21:07:00,"Not Stated","Exposure","F","Not Known",2m 20d 2H 53M 0S,NA,NA,1,0
"1250","NATIONAL RAIL",2014-02-18,2014-02-14 23:10:00,"Not Stated","Sexual Assault On A Female Aged 13 And Over No Penetration","F","26",3d 0H 50M 0S,26,1988,1,0
"1251","NATIONAL RAIL",2012-03-16,2012-03-16 12:00:00,"Not Stated","Sexual Offences - Committing An Act Outraging Public Decency","Regina Offence",NA,-12H 0M 0S,NA,NA,0,0
"1252","NATIONAL RAIL",2013-03-16,2013-03-15 22:14:00,"Not Stated","Sexual Assault On A Female Aged 13 And Over No Penetration","F","19",1H 46M 0S,19,1994,0,0
"1253","NATIONAL RAIL",2012-03-23,2012-03-21 20:10:00,"Not Stated","Sexual Assault On A Female Aged 13 And Over No Penetration","F","26",1d 3H 50M 0S,26,1986,1,0
"1254","NATIONAL RAIL",2012-03-26,2012-03-04 14:00:00,"Not Stated","Sexual Assault On A Female Aged 13 And Over No Penetration","F","14",21d 10H 0M 0S,14,1998,1,0
"1255","NATIONAL RAIL",2012-05-31,2012-05-28 18:35:00,"Not Stated","Exposure","F","29",2d 5H 25M 0S,29,1983,1,0
"1256","NATIONAL RAIL",2013-06-01,2013-05-31 19:40:00,"Not Stated","Exposure","F","28",4H 20M 0S,28,1985,0,0
"1257","NATIONAL RAIL",2012-06-14,2012-06-14 17:39:00,"Not Stated","Sexual Offences - Committing An Act Outraging Public Decency","Regina Offence",NA,-17H -39M 0S,NA,NA,0,0
"1258","NATIONAL RAIL",2013-06-06,2013-05-26 20:15:00,"Not Stated","Sexual Assault On A Female Aged 13 And Over No Penetration","F","36",10d 3H 45M 0S,36,1977,1,0
"1259","NATIONAL RAIL",2013-06-26,2013-06-25 16:20:00,"Not Stated","Voyeurism","F","23",7H 40M 0S,23,1990,0,0
"1260","NATIONAL RAIL",2013-07-03,2013-07-01 13:45:00,"Not Stated","Sexual Assault On A Female Aged 13 And Over No Penetration","F","23",1d 10H 15M 0S,23,1990,1,0
"1261","NATIONAL RAIL",2013-07-03,2013-07-03 19:05:00,"Not Stated","Sexual Assault On A Female Aged 13 And Over No Penetration","F","22",-19H -5M 0S,22,1991,0,0
"1262","NATIONAL RAIL",2012-07-26,2012-07-26 00:49:00,"Not Stated","Sexual Assault On A Female Aged 13 And Over No Penetration","F","29",-49M 0S,29,1983,0,0
